citizen_id,full_name,date_of_birth,sex,civil_status,barangay,mobile_number,email,registered_date,account_status
CIT-000001,Juan S. Gonzales,1987-08-06,Male,Married,Barangka Ilaya,09043321819,juan.gonzales@example.net,2026-03-15T05:41:37,Inactive
CIT-000002,Danilo C. Alonzo,1974-12-24,Male,Single,Barangka Drive,09013389083,danilo.alonzo@example.net,2026-01-20T09:23:28,Active
CIT-000003,Nathaniel B. Uy,1992-01-14,Male,Married,Mabini-J. Rizal,09863794026,nathaniel.uy76@example.com,2026-03-22T06:46:02,Active
CIT-000004,Karen A. Gonzales,1970-03-30,Female,Married,San Jose,09235116155,karen.gonzales@example.com,2025-10-26T03:20:56,Active
CIT-000005,Kristine C. Marquez,1985-07-10,Female,Separated,Namayan,09078161849,kristine.marquez16@example.com,2025-12-31T23:33:41,Active
CIT-000006,Angel O. Villanueva,2001-11-12,Female,Single,Plainview,09593103413,angel.villanueva30@example.com,2026-04-28T18:18:32,Active
CIT-000007,Ricardo E. Gonzales,2000-10-06,Male,Widowed,Barangka Itaas,09647525534,ricardo.gonzales48@example.com,2026-02-15T20:39:19,Active
CIT-000008,Arnel U. Flores,1991-03-20,Male,Married,Barangka Itaas,09192832764,arnel.flores60@example.org,2026-05-25T23:26:27,Active
CIT-000009,Kevin B. Aguilar,2007-11-26,Male,Married,Wack-Wack Greenhills,09835030564,kevin.aguilar5@example.org,2025-09-12T13:41:45,Active
CIT-000010,Josephine M. Panganiban,1954-05-07,Female,Separated,Barangka Ilaya,09953767242,josephine.panganiban@example.com,2026-03-16T21:58:14,Active
CIT-000011,Corazon A. Lim,1964-10-23,Female,Separated,Harapin Ang Bukas,09884969653,corazon.lim@example.net,2025-12-09T06:04:15,Active
CIT-000012,Alvin A. Torres,2008-05-09,Male,Married,Vergara,09287101226,alvin.torres88@example.net,2025-06-25T06:17:28,Active
CIT-000013,Divina T. Marquez,1985-02-05,Female,Single,Plainview,09669784801,divina.marquez@example.net,2026-05-10T04:59:45,Active
